One Robot,Two Robots,Three Robots,Four Robots,Five Robots,Six Robots
0.0056026,0.0161511,0.0091554,0.0064886,0.0111577,0.0150004
0.010203,0.0146937,0.0066808,0.0064,0.0156981,0.0167225
0.0131629,0.0157448,0.0149734,0.0095589,0.010674,0.009629
0.0082634,0.0115402,0.0191986,0.0185278,0.0151117,0.0096606
0.008546,0.0130204,0.0138624,0.015422,0.0063879,0.0075236
0.0066067,0.0131637,0.0134628,0.0071117,0.0103582,0.0089795
0.0051319,0.0126145,0.0157156,0.0081063,0.01335,0.0154961
0.0068101,0.0125317,0.0142543,0.0088042,0.011356,0.0146031
0.0162921,0.009215,0.0165748,0.0136057,0.0121759,0.0133818
0.0120323,0.0109003,0.0144282,0.0151283,0.0093716,0.0303143
0.0134288,0.0101011,0.0145605,0.0157324,0.0079217,0.0122865
0.0090778,0.007786,0.0150533,0.0102361,0.0165485,0.0120406
0.0064905,0.0119286,0.0161275,0.0155647,0.0288461,0.0109434
0.0132717,0.0103495,0.02898,0.0141606,0.0161071,0.0121577
0.0169975,0.0079088,0.0122258,0.0092491,0.0158612,0.0164667
0.0265808,0.0125639,0.0099545,0.0140381,0.0158838,0.0092763
0.0130447,0.0121682,0.0113349,0.0105454,0.0123912,0.0111875
0.0099266,0.0281125,0.0079958,0.0118707,0.0109654,0.0137777
0.0091335,0.0160488,0.0148493,0.0103062,0.0166843,0.0103923
0.0069173,0.0104888,0.0172698,0.0126538,0.0145856,0.0136279
0.0108907,0.0111041,0.0071528,0.0124874,0.0130642,0.0131729
0.0117555,0.011584,0.0101742,0.0137415,0.0142793,0.0097244
0.0110156,0.0141809,0.0111028,0.0121908,0.0171479,0.0137417
0.0109319,0.0109759,0.0139386,0.0144317,0.010072,0.0129506
0.0163415,0.0093695,0.0157352,0.0142052,0.0116975,0.0075351
0.0107564,0.0164145,0.0122338,0.0146964,0.007418,0.0082369
0.0122659,0.0163468,0.0136467,0.0118934,0.0132719,0.0104101
0.0106363,0.0146274,0.0177334,0.0289705,0.0150639,0.0144956
0.0121716,0.013554,0.0123613,0.0112547,0.0155174,0.0137325
0.0142978,0.0053579,0.0129859,0.0159256,0.0110453,0.0161628
0.0114026,0.0055548,0.0176732,0.0143144,0.0152505,0.0140922
0.0115388,0.0052571,0.0124851,0.0113945,0.0124672,0.0164221
0.0117317,0.0053955,0.014651,0.0122826,0.0141496,0.0153314
0.0162181,0.0103907,0.011135,0.008553,0.0178711,0.0328377
0.0121156,0.0173331,0.0146427,0.0080877,0.0120384,0.0142328
0.0113105,0.0135149,0.0082663,0.0069092,0.0138862,0.0138751
0.0141575,0.011675,0.0112243,0.0116386,0.0311878,0.0151042
0.0128277,0.0078148,0.0313453,0.0119327,0.0164487,0.0136684
0.0156109,0.0070553,0.0127032,0.0136506,0.0126874,0.0167813
0.0290372,0.0129211,0.0158509,0.0150249,0.0142619,0.0111101
0.0072527,0.0115566,0.0137628,0.0146741,0.014887,0.0125385
0.0146545,0.0281888,0.0153924,0.0112669,0.010283,0.0102537
0.0114648,0.0124074,0.0152537,0.0133272,0.0133187,0.0119272
0.0106195,0.0123888,0.0157787,0.0145233,0.0088071,0.0090335
0.010284,0.0098189,0.0173256,0.0149935,0.0092493,0.0108924
0.0134972,0.0157757,0.0102925,0.0144336,0.0118854,0.0110881
0.0097396,0.0106803,0.0122875,0.0152213,0.0101852,0.0171188
0.0146285,0.0138477,0.010084,0.0155281,0.0131879,0.0151851
0.0105053,0.0105542,0.0106339,0.0165799,0.0151927,0.0143709
0.015279,0.0142138,0.008399,0.0088983,0.0140966,0.0154087
0.0139105,0.0133438,0.0067578,0.0111172,0.0133634,0.0158692
0.0143129,0.0139588,0.0094384,0.0316494,0.0133351,0.0146147
0.0133796,0.0138169,0.0119935,0.012482,0.0150733,0.0146481
0.0156054,0.0121025,0.0110516,0.0089311,0.0167581,0.0170202
0.014149,0.0085278,0.0151479,0.009502,0.0127836,0.0163896
0.009976,0.0146126,0.0158043,0.0076654,0.0144468,0.0116641
