Zero Robot,One Robot,Two Robots,Three Robots,Four Robots,Five Robots
66,62,70,65,62,64
53,55,64,61,60,54
62,60,55,67,68,64
56,69,68,63,59,52
68,65,59,57,56,64
57,72,53,63,55,56
66,58,57,54,63,61
69,65,64,58,63,55
61,60,64,59,56,65
57,69,71,55,68,65
52,65,66,62,53,56
65,58,57,53,55,65
60,67,60,60,60,55
82,60,67,62,62,60
56,53,67,67,60,65
64,57,54,57,56,57
67,57,64,64,63,58
61,66,52,56,57,61
66,60,60,62,66,68
55,66,67,56,56,54
55,64,61,60,56,59
57,66,61,65,62,70
64,61,67,59,58,57
68,64,58,62,60,66
62,63,67,57,62,59
64,69,55,60,65,68
56,62,63,67,65,59
57,70,69,61,67,60
61,57,69,65,76,67
69,65,53,57,65,64
